,"""Agents of S.H.I.E.L.D.""",In Your Eyes,Much Ado About Nothing,The Cabin in the Woods,"""Dollhouse""","""Dr. Horrible's Sing-Along Blog""","""Angel""","""Firefly""","""Buffy the Vampire Slayer"""
"Adside, Barbara C.",0,0,0,0,0,0,0,0,1
"Cooke, Josh (I)",0,0,0,0,1,0,0,0,0
"Heyman, Joel",0,0,0,0,0,0,1,0,0
Ginger (XIV),0,0,0,0,0,0,0,0,1
"Tadena, JB",1,0,0,0,0,0,0,0,0
"Gjokaj, Demir",0,0,0,0,1,0,0,0,0
"Howard, Jeremy (I)",0,0,0,0,0,0,0,0,1
"Ableson, Andrew",0,0,0,0,0,0,1,0,0
"Sircar, Althea",0,0,1,0,0,0,0,0,0
"Lenehan, Nancy",0,0,0,0,0,0,0,0,1
"Brow, Ranjani",0,0,0,0,0,0,0,0,1
"Machado, Justina",0,0,0,0,0,0,1,0,0
"Woodward, Jonathan M.",0,0,0,0,0,0,1,1,1
"Michaels, Norma",0,0,0,0,0,0,1,0,1
"Hiott, Joey",0,0,0,0,0,0,0,0,1
"Trope, Alison",0,0,1,0,0,0,0,0,0
"Stewart, Joseph Benjamin",0,0,0,0,0,0,0,0,1
"Sealy, Denice",0,0,0,0,1,0,0,0,1
"Lindsey, John Joseph",0,1,0,0,0,0,0,0,0
"Spencer, Octavia",0,0,0,0,1,0,0,0,0
"Andrews, Leslie (III)",0,0,0,0,1,0,0,0,0
"Luna, Abraham",1,0,0,0,0,0,0,0,0
"Valenta, Toni",0,0,0,0,0,0,0,0,1
"Erickson, Ethan",0,0,0,0,0,0,0,0,1
"Ricketts, Jeff",0,0,0,0,0,0,1,1,1
"Cummins, Gregory Scott",0,0,0,0,0,0,0,0,1
"Dowse, Denise",0,0,0,0,0,0,0,0,1
"Jones, Walter (I)",0,0,0,0,0,0,0,0,1
"Chamberlain, Chris (IV)",0,0,0,0,1,0,0,0,0
"DuVall, Clea",0,0,0,0,0,0,0,0,1
"Sharpe, Damon",0,0,0,0,0,0,0,0,1
"Weeks, Heather (I)",0,0,0,0,0,0,1,0,0
"Kiesche, Tom",0,0,0,0,0,0,1,0,1
"Sutherland, Kristine",0,0,0,0,0,0,0,0,1
"Kopache, Thomas",0,0,0,0,0,0,1,0,0
"McElhaney, Brian",0,0,1,0,0,0,0,0,0
